text,label
ID document for Melissa Gray born 2019-01-11,id_document
"Receipt from Hill-Lee dated 1995-05-26 total ('YER', 'Yemeni rial') 143",receipt
ID document for Patrick Miller born 2024-10-06,id_document
"Receipt from Daniels-Elliott dated 1980-02-04 total ('JPY', 'Japanese yen') 221",receipt
"Bank statement for account 35304940 ending balance ('SVC', 'Salvadoran colón') 15618",bank_statement
"Contract between Jennings, Frazier and Myers and Miller, Hernandez and Williams effective 1992-09-22",contract
"Receipt from Arnold, Romero and Tran dated 1989-09-06 total ('MUR', 'Mauritian rupee') 24",receipt
ID document for Valerie Wilson born 2007-01-30,id_document
"Receipt from Wheeler-Smith dated 2021-02-14 total ('ERN', 'Eritrean nakfa') 106",receipt
"Receipt from Collins-Jones dated 1999-11-26 total ('BRL', 'Brazilian real') 32",receipt
"Bank statement for account 22169763 ending balance ('XCD', 'Eastern Caribbean dollar') 45491",bank_statement
"Bank statement for account 67431808 ending balance ('NGN', 'Nigerian naira') 41205",bank_statement
ID document for Michelle Walker born 2004-06-09,id_document
"Bank statement for account 27599970 ending balance ('THB', 'Thai baht') 33886",bank_statement
"Receipt from Cox-Shaffer dated 1971-05-17 total ('CDF', 'Congolese franc') 258",receipt
"Receipt from Pace-Jenkins dated 2009-07-03 total ('UZS', 'Uzbekistani soʻm') 313",receipt
"Receipt from Anderson Group dated 2017-08-07 total ('CUP', 'Cuban peso') 490",receipt
"Bank statement for account 89600847 ending balance ('BGN', 'Bulgarian lev') 29330",bank_statement
"Bank statement for account 31864304 ending balance ('WST', 'Samoan tālā') 26796",bank_statement
"Contract between Mccarthy-Kemp and Walker, Walker and Boyd effective 2003-08-15",contract
"Receipt from Shaw, Smith and Smith dated 1987-08-08 total ('RON', 'Romanian leu') 393",receipt
"Contract between Durham, Snyder and Tran and Wilson-Phillips effective 2024-07-22",contract
"Contract between Sullivan, Tucker and Rodriguez and Brooks, Collins and Butler effective 1976-06-09",contract
"Invoice #6742 dated 2013-05-03 amount ('MDL', 'Moldovan leu') 4063",invoice
Contract between Mclean PLC and Smith Inc effective 2012-08-22,contract
"Bank statement for account 28117232 ending balance ('UAH', 'Ukrainian hryvnia') 37309",bank_statement
"Bank statement for account 92035637 ending balance ('BGN', 'Bulgarian lev') 20917",bank_statement
Contract between Cruz-Morrison and Kennedy-Rodriguez effective 2011-08-28,contract
"Invoice #9926 dated 2025-11-22 amount ('ZMW', 'Zambian kwacha') 2456",invoice
"Receipt from Garza Group dated 1991-07-28 total ('MKD', 'Macedonian denar') 265",receipt
"Receipt from Hunt-Gray dated 1977-01-30 total ('IQD', 'Iraqi dinar') 239",receipt
"Bank statement for account 30596334 ending balance ('LTL', 'Lithuanian litas') 12437",bank_statement
"Bank statement for account 66999431 ending balance ('TOP', 'Tongan paʻanga') 22930",bank_statement
"Receipt from Kirk and Sons dated 2019-07-11 total ('TJS', 'Tajikistani somoni') 357",receipt
ID document for Daniel Reynolds born 1936-11-26,id_document
"Bank statement for account 84524412 ending balance ('THB', 'Thai baht') 12349",bank_statement
ID document for Sheryl Burton born 1962-12-09,id_document
"Receipt from Walker Inc dated 1972-06-07 total ('PHP', 'Philippine peso') 148",receipt
ID document for Brendan Lopez born 2017-08-19,id_document
Contract between Alvarez-Santiago and Figueroa-Rivera effective 1992-11-21,contract
"Contract between Jackson, Shaw and Miller and Wilson-Cooper effective 1993-12-23",contract
"Receipt from Hunt-Rose dated 2009-11-12 total ('PYG', 'Paraguayan guarani') 424",receipt
"Receipt from West-Gallagher dated 1997-03-05 total ('JEP', 'Jersey pound') 346",receipt
"Bank statement for account 48132914 ending balance ('NIO', 'Nicaraguan córdoba') 4592",bank_statement
"Invoice #2597 dated 2024-10-19 amount ('BBD', 'Barbadian dollar') 4099",invoice
"Bank statement for account 79596560 ending balance ('LAK', 'Lao kip') 6732",bank_statement
ID document for Paul Woodward born 1996-11-12,id_document
"Bank statement for account 44157687 ending balance ('IMP', 'Manx pound') 24369",bank_statement
"Receipt from Andersen-Phillips dated 1984-01-15 total ('KYD', 'Cayman Islands dollar') 344",receipt
Contract between Boone-Lopez and Hernandez-Holmes effective 2010-10-27,contract
"Contract between Rocha, Castaneda and Walker and Baxter and Sons effective 2013-11-16",contract
ID document for Cesar Martinez born 1915-08-13,id_document
"Invoice #7106 dated 1997-07-01 amount ('MRO', 'Mauritanian ouguiya') 3337",invoice
"Invoice #3968 dated 1977-11-19 amount ('IMP', 'Manx pound') 2672",invoice
"Bank statement for account 63335946 ending balance ('CNY', 'Renminbi') 32605",bank_statement
"Invoice #9179 dated 2021-06-15 amount ('ISK', 'Icelandic króna') 179",invoice
"Receipt from Rodriguez-Lutz dated 1999-10-12 total ('AUD', 'Australian dollar') 336",receipt
"Receipt from Proctor-Stanley dated 2004-06-05 total ('VND', 'Vietnamese đồng') 349",receipt
"Bank statement for account 38088988 ending balance ('CUP', 'Cuban peso') 4459",bank_statement
ID document for Peter Santana born 1947-07-14,id_document
"Bank statement for account 24561803 ending balance ('KYD', 'Cayman Islands dollar') 23396",bank_statement
"Invoice #3140 dated 1996-07-27 amount ('CUP', 'Cuban peso') 1182",invoice
"Bank statement for account 68169228 ending balance ('ISK', 'Icelandic króna') 25967",bank_statement
ID document for Nicole Ramirez born 1929-11-17,id_document
ID document for Jonathan Richards born 2011-10-18,id_document
ID document for William Curtis born 1989-10-09,id_document
"Bank statement for account 98654413 ending balance ('THB', 'Thai baht') 9214",bank_statement
ID document for Andrew Perez born 2001-04-13,id_document
ID document for Shirley Nguyen born 1952-09-26,id_document
Contract between Hill Ltd and West-Coleman effective 2024-09-17,contract
"Contract between Taylor, Green and Holloway and Bonilla Group effective 2010-03-31",contract
"Receipt from Perkins PLC dated 2006-10-01 total ('TND', 'Tunisian dinar') 283",receipt
"Bank statement for account 19899421 ending balance ('PLN', 'Polish zloty') 22524",bank_statement
"Bank statement for account 76215096 ending balance ('RSD', 'Serbian dinar') 4115",bank_statement
"Contract between Bonilla, Ali and Robinson and George, Rivera and Galvan effective 1981-05-26",contract
ID document for Cameron Cox born 1963-03-12,id_document
ID document for Dale Becker born 1935-04-12,id_document
"Invoice #5535 dated 1982-12-06 amount ('CVE', 'Cape Verdean escudo') 2361",invoice
ID document for Wanda Diaz born 1997-05-08,id_document
ID document for Cody Hatfield born 1935-04-29,id_document
"Bank statement for account 94566609 ending balance ('YER', 'Yemeni rial') 11617",bank_statement
"Contract between Mcbride and Sons and Howard, Perez and Chambers effective 2006-01-27",contract
"Receipt from Malone Inc dated 2005-06-28 total ('NIS', 'Israeli new shekel') 228",receipt
"Invoice #5449 dated 2020-12-04 amount ('ISK', 'Icelandic króna') 2162",invoice
ID document for Douglas Hernandez born 2007-11-24,id_document
ID document for Donna Greene born 1999-01-17,id_document
"Contract between Lopez, Chung and Greene and Wilson PLC effective 2023-04-12",contract
Contract between Banks-Wilcox and Lee Ltd effective 2010-05-15,contract
"Contract between Watson, Crawford and Mcbride and Cook LLC effective 1993-08-30",contract
ID document for Alan Garcia born 1915-01-21,id_document
"Receipt from Massey, Mcintyre and Harris dated 2001-11-11 total ('VEF', 'Venezuelan bolívar') 253",receipt
"Receipt from Wilson, Price and Pearson dated 1970-12-22 total ('ZAR', 'South African rand') 118",receipt
"Receipt from Berry, Carter and Bishop dated 1985-11-10 total ('SYP', 'Syrian pound') 141",receipt
"Bank statement for account 16629373 ending balance ('LAK', 'Lao kip') 15921",bank_statement
"Receipt from Hancock, Kirby and Kelly dated 1986-11-27 total ('BHD', 'Bahraini dinar') 395",receipt
"Invoice #4051 dated 1981-02-28 amount ('FJD', 'Fijian dollar') 4915",invoice
ID document for Kristen Young born 1942-01-22,id_document
"Bank statement for account 40091787 ending balance ('LRD', 'Liberian dollar') 2385",bank_statement
"Contract between Robbins-Francis and Morgan, Castillo and Palmer effective 2003-05-16",contract
"Invoice #8759 dated 2015-08-17 amount ('UZS', 'Uzbekistani soʻm') 3248",invoice
"Receipt from Anderson-Perez dated 2021-03-25 total ('RWF', 'Rwandan franc') 417",receipt
"Invoice #8098 dated 1992-01-31 amount ('SBD', 'Solomon Islands dollar') 4440",invoice
"Receipt from Reyes Ltd dated 2019-03-31 total ('HKD', 'Hong Kong dollar') 396",receipt
"Receipt from Anderson-Boyer dated 2015-12-29 total ('IMP', 'Manx pound') 310",receipt
"Invoice #5435 dated 2012-08-26 amount ('QAR', 'Qatari riyal') 2160",invoice
ID document for Matthew Lopez born 1915-10-08,id_document
"Receipt from Everett-Hart dated 2020-05-12 total ('BZD', 'Belize dollar') 314",receipt
"Bank statement for account 51658526 ending balance ('BIF', 'Burundian franc') 26598",bank_statement
"Receipt from Wilson-Blackwell dated 1982-06-28 total ('LSL', 'Lesotho loti') 415",receipt
"Bank statement for account 78578492 ending balance ('BZD', 'Belize dollar') 22372",bank_statement
Contract between Hayes-Harris and Crawford-Kelley effective 2014-01-04,contract
"Receipt from Rollins, Cole and Weber dated 1997-07-18 total ('KRW', 'South Korean won') 85",receipt
"Invoice #5203 dated 1983-05-06 amount ('SHP', 'Saint Helena pound') 2567",invoice
"Bank statement for account 42376963 ending balance ('VUV', 'Vanuatu vatu') 44457",bank_statement
"Contract between Nichols, Hernandez and Davis and Gibson, Chambers and Moss effective 2001-09-22",contract
"Invoice #1091 dated 1975-10-31 amount ('PEN', 'Peruvian sol') 2307",invoice
ID document for Victor Walker born 1916-11-16,id_document
ID document for Bruce Grant born 2015-01-20,id_document
"Bank statement for account 50568074 ending balance ('BYR', 'Belarusian ruble') 36374",bank_statement
"Receipt from Allen-Hawkins dated 2013-07-21 total ('KRW', 'South Korean won') 152",receipt
"Bank statement for account 36405193 ending balance ('UGX', 'Ugandan shilling') 17226",bank_statement
"Invoice #1911 dated 2020-09-06 amount ('MZN', 'Mozambican metical') 4239",invoice
ID document for Robert Brown born 1930-08-24,id_document
Contract between Hill and Sons and Reid LLC effective 1986-03-02,contract
"Bank statement for account 39089798 ending balance ('DOP', 'Dominican peso') 9861",bank_statement
ID document for Kristin Henry born 1950-04-27,id_document
"Invoice #4869 dated 2009-05-13 amount ('XAF', 'Central African CFA franc') 3597",invoice
"Receipt from Williams, Strickland and Johnson dated 2001-05-09 total ('CHF', 'Swiss franc') 418",receipt
"Receipt from Carter, Schultz and Romero dated 1993-06-04 total ('MOP', 'Macanese pataca') 297",receipt
"Invoice #1975 dated 1978-03-05 amount ('TND', 'Tunisian dinar') 3644",invoice
"Invoice #5374 dated 1976-10-25 amount ('BDT', 'Bangladeshi taka') 4877",invoice
ID document for Glen Barnes born 1991-04-01,id_document
"Invoice #9457 dated 1989-09-01 amount ('BHD', 'Bahraini dinar') 4409",invoice
ID document for Tami Williams born 1974-04-25,id_document
"Receipt from Anderson, Hill and Vega dated 1996-05-28 total ('CUC', 'Cuban convertible peso') 450",receipt
Contract between Myers PLC and Kerr and Sons effective 1999-06-22,contract
"Contract between Garcia, Henderson and Allen and Mckinney-Garrett effective 2004-11-13",contract
"Receipt from Jones, Rowland and Flores dated 2004-09-25 total ('HKD', 'Hong Kong dollar') 287",receipt
"Receipt from Johnson-Guerrero dated 2011-07-06 total ('STD', 'São Tomé and Príncipe dobra') 448",receipt
"Invoice #5825 dated 2003-01-03 amount ('GEL', 'Georgian lari') 2624",invoice
"Invoice #4538 dated 1996-09-08 amount ('ZWD', 'Zimbabwean dollar') 3762",invoice
"Invoice #3990 dated 1980-01-20 amount ('SLL', 'Sierra Leonean leone') 4371",invoice
ID document for James Bartlett born 1983-09-10,id_document
ID document for Roger Collins born 2008-12-03,id_document
ID document for Michele Turner born 1928-11-04,id_document
ID document for Kimberly Curry born 2001-10-29,id_document
ID document for Cheryl Delgado born 2008-09-30,id_document
"Bank statement for account 36126638 ending balance ('WST', 'Samoan tālā') 17694",bank_statement
"Invoice #8709 dated 1990-11-24 amount ('TRY', 'Turkish lira') 607",invoice
"Bank statement for account 20882714 ending balance ('ZMW', 'Zambian kwacha') 15789",bank_statement
Contract between Rivas PLC and Roberson LLC effective 1992-12-29,contract
ID document for Tyler Mcdonald born 1992-08-15,id_document
"Receipt from Garcia, Wall and Gonzalez dated 2013-04-26 total ('LSL', 'Lesotho loti') 197",receipt
ID document for Jerry Evans born 1987-05-05,id_document
"Receipt from Stanley-Smith dated 2022-06-03 total ('MYR', 'Malaysian ringgit') 462",receipt
ID document for Brady Weaver born 1978-06-11,id_document
ID document for Robert Galloway born 1919-06-29,id_document
"Bank statement for account 80508110 ending balance ('MVR', 'Maldivian rufiyaa') 42153",bank_statement
"Receipt from Escobar, Ellis and Perez dated 1983-07-21 total ('RSD', 'Serbian dinar') 108",receipt
"Receipt from Brown, Dixon and Rodriguez dated 2025-08-09 total ('GNF', 'Guinean franc') 77",receipt
"Receipt from Lang-Barnett dated 2004-04-19 total ('SCR', 'Seychellois rupee') 73",receipt
ID document for Peter Dillon born 1920-11-15,id_document
ID document for Mallory Bruce born 1995-07-19,id_document
"Invoice #1987 dated 1976-12-31 amount ('AFN', 'Afghan afghani') 768",invoice
ID document for Tamara Riddle born 1997-12-24,id_document
"Receipt from Wilkerson LLC dated 1981-05-04 total ('KZT', 'Kazakhstani tenge') 28",receipt
ID document for Willie Vincent born 1946-02-18,id_document
ID document for John Smith born 2003-03-21,id_document
"Contract between Moore-Morales and Little, Montes and Harris effective 2018-11-05",contract
"Invoice #4251 dated 1990-01-13 amount ('ARS', 'Argentine peso') 2458",invoice
"Bank statement for account 56439408 ending balance ('MYR', 'Malaysian ringgit') 7932",bank_statement
"Contract between Smith and Sons and Hobbs, Moore and Buckley effective 2012-12-02",contract
"Receipt from Escobar Group dated 1977-10-05 total ('SBD', 'Solomon Islands dollar') 319",receipt
"Contract between Hayes Inc and Chavez, Evans and Osborne effective 2016-12-19",contract
"Contract between Salazar, Curry and Bryant and Byrd, Rivera and Smith effective 2025-11-01",contract
ID document for Nicholas Friedman born 1915-08-21,id_document
"Bank statement for account 97857620 ending balance ('SEK', 'Swedish krona') 28680",bank_statement
ID document for Jamie Weaver born 1994-12-29,id_document
"Contract between Wolfe, Barr and Mills and Pierce, Joyce and Wood effective 2022-12-06",contract
ID document for Patricia Riley born 1953-10-17,id_document
"Bank statement for account 68764397 ending balance ('GEL', 'Georgian lari') 41097",bank_statement
"Receipt from Lewis and Sons dated 2016-08-22 total ('LKR', 'Sri Lankan rupee') 442",receipt
Contract between Smith-Moran and Miller LLC effective 2018-03-05,contract
ID document for Sandy Schmidt born 1926-04-06,id_document
"Bank statement for account 79387278 ending balance ('COP', 'Colombian peso') 5145",bank_statement
Contract between Gutierrez-Moss and Burke-Herrera effective 1999-08-16,contract
"Invoice #8047 dated 2007-01-30 amount ('BHD', 'Bahraini dinar') 557",invoice
ID document for Molly Rodriguez born 1951-04-19,id_document
"Invoice #4595 dated 1989-01-05 amount ('BND', 'Brunei dollar') 3350",invoice
"Invoice #7281 dated 2012-06-25 amount ('GTQ', 'Guatemalan quetzal') 2093",invoice
ID document for Taylor Reynolds born 2000-07-03,id_document
"Contract between Swanson-Eaton and Simpson, Miller and Simon effective 2005-11-23",contract
"Bank statement for account 13797966 ending balance ('KWD', 'Kuwaiti dinar') 21672",bank_statement
"Receipt from Lewis, Lester and Neal dated 2004-04-25 total ('VND', 'Vietnamese đồng') 22",receipt
"Receipt from Lynch-Rios dated 2005-01-15 total ('GIP', 'Gibraltar pound') 157",receipt
ID document for Mariah Moore born 1918-11-24,id_document
Contract between Paul-Mcdaniel and White Ltd effective 1974-02-13,contract
"Invoice #8054 dated 2000-06-15 amount ('BTN', 'Bhutanese ngultrum') 1746",invoice
Contract between Mcknight Ltd and Saunders PLC effective 1977-04-08,contract
"Contract between Tran, Burgess and Johnson and Wilkins-Peters effective 2014-11-14",contract
"Receipt from Mcdonald, Foster and Lambert dated 2003-04-21 total ('MYR', 'Malaysian ringgit') 317",receipt
"Invoice #1096 dated 2003-03-01 amount ('KRW', 'South Korean won') 199",invoice
ID document for Sarah Coleman PhD born 1923-03-11,id_document
"Contract between Gross, Rivera and Howard and Sosa and Sons effective 2008-06-08",contract
"Contract between Ruiz PLC and Stein, Mcdonald and Vargas effective 1991-02-03",contract
"Bank statement for account 30029776 ending balance ('TVD', 'Tuvaluan dollar') 13058",bank_statement
"Contract between Gibson-Jones and Bass, Foley and Vazquez effective 1987-04-26",contract
ID document for Miranda Peterson born 1911-04-17,id_document
"Invoice #1358 dated 2008-02-11 amount ('MRO', 'Mauritanian ouguiya') 2837",invoice
"Invoice #5098 dated 1975-05-10 amount ('CUC', 'Cuban convertible peso') 3955",invoice
"Receipt from Moses, Gilbert and Durham dated 2017-11-17 total ('NAD', 'Namibian dollar') 377",receipt
"Invoice #9477 dated 1995-06-10 amount ('BBD', 'Barbadian dollar') 391",invoice
Contract between Jensen Group and Cook-Herman effective 2003-11-29,contract
Contract between Costa-Sanchez and Acevedo-Salinas effective 2024-12-10,contract
"Contract between Welch, Morgan and Townsend and Kennedy, Smith and Snyder effective 2004-01-13",contract
"Invoice #2749 dated 2007-08-13 amount ('COP', 'Colombian peso') 485",invoice
"Invoice #6406 dated 2001-10-16 amount ('IRR', 'Iranian rial') 959",invoice
Contract between Miranda-Stanton and Mayer-Oliver effective 2014-04-26,contract
"Invoice #6357 dated 1978-10-24 amount ('PKR', 'Pakistani rupee') 4451",invoice
"Bank statement for account 39723733 ending balance ('PKR', 'Pakistani rupee') 38315",bank_statement
"Invoice #5186 dated 2021-12-12 amount ('GYD', 'Guyanese dollar') 2705",invoice
"Receipt from Chambers PLC dated 1970-12-01 total ('ZMW', 'Zambian kwacha') 220",receipt
"Bank statement for account 30939125 ending balance ('DOP', 'Dominican peso') 35542",bank_statement
